country,year,population,life_expectancy_tidy,gni_per_capita_tidy
Nicaragua,1834,233k,25.4,
Netherlands,1834,2.73M,39.9,
Norway,1834,1.17M,42.0,
Nepal,1834,4.09M,32.8,
Nauru,1834,1860,32.8,
New Zealand,1834,86.8k,34.0,
Oman,1834,331k,32.3,
Pakistan,1834,14.3M,25.8,
Panama,1834,96.7k,32.9,
Peru,1834,1.65M,35.7,
Philippines,1834,2.79M,30.9,
Palau,1834,4150,30.9,
Papua New Guinea,1834,759k,31.5,
Poland,1834,11.6M,35.9,
North Korea,1834,4.39M,26.0,
Portugal,1834,3.57M,35.6,
Paraguay,1834,217k,35.5,
Palestine,1834,166k,32.1,
Qatar,1834,14.1k,30.8,
Romania,1834,7.1M,35.7,
Russia,1834,35.6M,29.6,
Rwanda,1834,1.17M,31.8,
Saudi Arabia,1834,2.16M,32.1,
Sudan,1834,4.37M,31.4,
Senegal,1834,973k,25.2,
Singapore,1834,40.2k,34.0,
Solomon Islands,1834,66.3k,25.1,
Sierra Leone,1834,787k,25.1,
El Salvador,1834,297k,28.7,
San Marino,1834,6120,28.7,
Somalia,1834,1.2M,29.4,
Serbia,1834,2.09M,35.5,
South Sudan,1834,1.12M,26.7,
Sao Tome and Principe,1834,25.1k,31.0,
Suriname,1834,82.8k,32.9,
Slovak Republic,1834,2.25M,36.4,
Slovenia,1834,531k,36.6,
Sweden,1834,2.97M,38.5,
Eswatini,1834,72k,32.3,
Seychelles,1834,13.2k,37.0,
Syria,1834,1.4M,31.1,
Chad,1834,1.67M,30.9,
Togo,1834,473k,31.3,
Thailand,1834,4.92M,30.4,
Tajikistan,1834,530k,24.2,
Turkmenistan,1834,417k,24.0,
Timor-Leste,1834,165k,28.9,
Tonga,1834,18.5k,28.2,
Trinidad and Tobago,1834,68.6k,32.9,
Tunisia,1834,979k,28.8,
Turkey,1834,10.5M,35.0,
Tuvalu,1834,2670,35.0,
Taiwan,1834,2.09M,28.3,
Tanzania,1834,3.99M,32.2,
Uganda,1834,2.47M,25.3,
Ukraine,1834,12.7M,36.6,
Uruguay,1834,82.8k,32.9,
United States,1834,14.8M,39.4,
Uzbekistan,1834,2.18M,26.9,
St. Vincent and the Grenadines,1834,27.7k,26.0,
Venezuela,1834,1.01M,32.2,
Vietnam,1834,6.29M,32.0,
Vanuatu,1834,31.9k,24.3,
Samoa,1834,47k,25.4,
Yemen,1834,2.66M,23.4,
South Africa,1834,2.11M,33.5,
Zambia,1834,1.25M,32.6,
Zimbabwe,1834,864k,33.7,
Afghanistan,1835,3.51M,27.9,
Angola,1835,1.95M,27.0,
Albania,1835,467k,35.4,
Andorra,1835,2950,35.4,
United Arab Emirates,1835,40.2k,30.7,
Argentina,1835,698k,33.2,
Armenia,1835,474k,34.0,
Antigua and Barbuda,1835,37k,33.5,
Australia,1835,373k,34.0,
Austria,1835,3.63M,34.4,
Azerbaijan,1835,1.01M,29.2,
Burundi,1835,1.13M,31.5,
Belgium,1835,3.91M,40.3,
Benin,1835,710k,31.0,
Burkina Faso,1835,1.76M,29.2,
Bangladesh,1835,21.3M,25.5,
Bulgaria,1835,2.34M,37.3,
Bahrain,1835,64.5k,30.3,
Bahamas,1835,27.7k,35.2,
Bosnia and Herzegovina,1835,934k,35.1,
Belarus,1835,2.7M,36.2,
Belize,1835,25.7k,26.5,
Bolivia,1835,1.23M,33.0,
Brazil,1835,5.71M,32.0,
Barbados,1835,105k,32.1,
Brunei,1835,3090,29.2,
Bhutan,1835,364k,28.8,
Botswana,1835,106k,33.6,
Central African Republic,1835,668k,30.0,
Canada,1835,1.41M,39.5,
Switzerland,1835,2.16M,38.0,
Chile,1835,1.07M,32.0,
China,1835,410M,32.0,
Cote d'Ivoire,1835,1.06M,31.2,
Cameroon,1835,2.27M,28.8,
"Congo, Dem. Rep.",1835,6.52M,31.6,
"Congo, Rep.",1835,400k,32.7,
Colombia,1835,1.81M,32.0,
Comoros,1835,58.1k,32.1,
Cape Verde,1835,65.3k,33.8,
Costa Rica,1835,85.7k,30.2,
Cuba,1835,1.01M,36.4,
Cyprus,1835,185k,38.5,
Czech Republic,1835,6.18M,35.0,
Germany,1835,29.5M,38.4,
Djibouti,1835,30.4k,29.9,
Dominica,1835,21.5k,29.9,
Denmark,1835,1.31M,38.4,
Dominican Republic,1835,114k,29.9,
Algeria,1835,2.76M,28.8,
Ecuador,1835,639k,32.9,
Egypt,1835,4.4M,33.0,
Eritrea,1835,380k,30.2,
Spain,1835,13.5M,29.5,
Estonia,1835,400k,38.7,
Ethiopia,1835,14.9M,28.0,
Finland,1835,1.4M,37.8,
Fiji,1835,139k,26.1,
France,1835,34.1M,39.5,
"Micronesia, Fed. Sts.",1835,17.6k,26.7,
Gabon,1835,217k,30.6,
United Kingdom,1835,25.4M,41.1,
Georgia,1835,1.23M,31.9,
Ghana,1835,2M,28.0,
Guinea,1835,1.01M,29.9,
Gambia,1835,108k,28.8,
Guinea-Bissau,1835,214k,32.0,
Equatorial Guinea,1835,93.3k,29.8,
Greece,1835,2.65M,36.6,
Grenada,1835,31.2k,31.4,
Guatemala,1835,676k,25.8,
Guyana,1835,112k,31.1,
"Hong Kong, China",1835,25.8k,34.9,
Honduras,1835,218k,33.9,
Holy See,1835,905,,
Croatia,1835,1.4M,36.1,
Haiti,1835,824k,29.0,
Hungary,1835,4.63M,36.0,
Indonesia,1835,19.2M,30.0,
India,1835,222M,25.4,
Ireland,1835,8.08M,38.3,
Iran,1835,7.01M,25.6,
Iraq,1835,1.17M,31.2,
Iceland,1835,58.1k,36.6,
Israel,1835,210k,32.0,
Italy,1835,22.2M,29.7,
Jamaica,1835,383k,34.2,
Jordan,1835,255k,31.7,
Japan,1835,31.5M,36.4,
Kazakhstan,1835,2.34M,26.2,
Kenya,1835,3.1M,25.5,
Kyrgyz Republic,1835,608k,23.9,
Cambodia,1835,2.16M,35.0,
Kiribati,1835,19.2k,24.9,
St. Kitts and Nevis,1835,22.2k,24.9,
South Korea,1835,9.47M,25.8,
Kuwait,1835,81.3k,26.0,
Lao,1835,542k,31.9,
Lebanon,1835,370k,29.7,
Liberia,1835,322k,31.1,
Libya,1835,251k,33.1,
St. Lucia,1835,24k,28.0,
Liechtenstein,1835,6460,,
Sri Lanka,1835,1.64M,32.6,
Lesotho,1835,222k,32.8,
Lithuania,1835,971k,28.9,
Luxembourg,1835,175k,36.9,
Latvia,1835,754k,33.0,
Morocco,1835,2.77M,33.1,
Monaco,1835,9330,33.1,
Moldova,1835,817k,33.1,
Madagascar,1835,2.1M,30.5,
Maldives,1835,46.3k,32.6,
Mexico,1835,6.71M,26.9,
Marshall Islands,1835,8230,26.9,
North Macedonia,1835,447k,36.1,
Mali,1835,1.45M,26.4,
Malta,1835,147k,28.7,
Myanmar,1835,3.71M,30.8,
Montenegro,1835,160k,35.4,
Mongolia,1835,633k,31.8,
Mozambique,1835,3.16M,30.3,
Mauritania,1835,332k,32.0,
Mauritius,1835,103k,27.2,
Malawi,1835,1.56M,30.3,
Malaysia,1835,390k,30.6,
Namibia,1835,144k,32.4,
Niger,1835,923k,30.8,
Nigeria,1835,12.8M,30.4,
Nicaragua,1835,236k,25.4,
Netherlands,1835,2.76M,39.9,
Norway,1835,1.18M,46.1,
Nepal,1835,4.11M,32.8,
Nauru,1835,1860,32.8,
New Zealand,1835,83.8k,34.0,
Oman,1835,332k,32.3,
Pakistan,1835,14.3M,25.8,
Panama,1835,97.4k,32.9,
Peru,1835,1.72M,35.7,
Philippines,1835,2.84M,30.9,
Palau,1835,4170,30.9,
Papua New Guinea,1835,759k,31.5,
Poland,1835,11.6M,35.9,
North Korea,1835,4.39M,26.0,
Portugal,1835,3.6M,35.6,
Paraguay,1835,224k,35.5,
Palestine,1835,166k,32.1,
Qatar,1835,14.1k,30.8,
Romania,1835,7.15M,35.7,
Russia,1835,36M,29.6,
Rwanda,1835,1.19M,31.8,
Saudi Arabia,1835,2.16M,32.1,
Sudan,1835,4.39M,31.4,
Senegal,1835,970k,25.2,
Singapore,1835,41k,34.0,
Solomon Islands,1835,67k,25.1,
Sierra Leone,1835,786k,25.1,
El Salvador,1835,301k,28.7,
San Marino,1835,6170,28.7,
Somalia,1835,1.22M,29.4,
Serbia,1835,2.08M,35.5,
South Sudan,1835,1.13M,26.7,
Sao Tome and Principe,1835,25.3k,31.0,
Suriname,1835,82.9k,32.9,
Slovak Republic,1835,2.26M,36.4,
Slovenia,1835,536k,36.6,
Sweden,1835,3M,47.1,
Eswatini,1835,71.6k,32.3,
Seychelles,1835,13.2k,37.0,
Syria,1835,1.41M,31.1,
Chad,1835,1.67M,30.9,
Togo,1835,475k,31.3,
Thailand,1835,4.94M,30.4,
Tajikistan,1835,535k,24.2,
Turkmenistan,1835,421k,24.0,
Timor-Leste,1835,167k,28.9,
Tonga,1835,18.5k,28.2,
Trinidad and Tobago,1835,69.3k,32.9,
Tunisia,1835,987k,28.8,
Turkey,1835,10.6M,35.0,
Tuvalu,1835,2690,35.0,
Taiwan,1835,2.1M,28.3,
Tanzania,1835,4.06M,32.2,
Uganda,1835,2.49M,25.3,
Ukraine,1835,12.9M,36.6,
Uruguay,1835,85.3k,32.9,
United States,1835,15.2M,39.4,
Uzbekistan,1835,2.2M,26.9,
St. Vincent and the Grenadines,1835,27.8k,26.0,
Venezuela,1835,1.04M,32.2,
Vietnam,1835,6.27M,32.0,
Vanuatu,1835,32.2k,24.3,
Samoa,1835,47k,25.4,
Yemen,1835,2.66M,23.4,
South Africa,1835,2.16M,33.5,
Zambia,1835,1.27M,32.6,
Zimbabwe,1835,850k,33.7,
Afghanistan,1836,3.52M,27.8,
Angola,1836,1.98M,27.0,
Albania,1836,470k,35.4,
Andorra,1836,2970,35.4,
United Arab Emirates,1836,40.2k,30.7,
Argentina,1836,712k,33.2,
Armenia,1836,478k,34.0,
Antigua and Barbuda,1836,37k,33.5,
Australia,1836,382k,34.0,
Austria,1836,3.64M,34.4,
Azerbaijan,1836,1.02M,29.2,
Burundi,1836,1.14M,31.5,
Belgium,1836,3.94M,40.3,
Benin,1836,715k,31.0,
Burkina Faso,1836,1.76M,29.2,
Bangladesh,1836,21.4M,25.5,
Bulgaria,1836,2.35M,37.4,
Bahrain,1836,64.5k,30.3,
Bahamas,1836,27.7k,35.2,
Bosnia and Herzegovina,1836,940k,35.1,
Belarus,1836,2.73M,36.2,
Belize,1836,25.7k,26.5,
Bolivia,1836,1.24M,33.0,
Brazil,1836,5.8M,32.0,
Barbados,1836,107k,32.1,
Brunei,1836,3160,29.2,
Bhutan,1836,362k,28.8,
Botswana,1836,106k,33.6,
Central African Republic,1836,683k,30.0,
Canada,1836,1.46M,39.7,
Switzerland,1836,2.17M,38.0,
Chile,1836,1.09M,32.0,
China,1836,411M,32.0,
Cote d'Ivoire,1836,1.06M,31.2,
Cameroon,1836,2.3M,28.8,
"Congo, Dem. Rep.",1836,6.62M,31.6,
"Congo, Rep.",1836,406k,32.7,
Colombia,1836,1.83M,32.0,
Comoros,1836,58.3k,32.1,
Cape Verde,1836,66k,33.8,
Costa Rica,1836,87.3k,30.2,
Cuba,1836,1.01M,36.4,
Cyprus,1836,185k,38.5,
Czech Republic,1836,6.22M,35.0,
Germany,1836,29.9M,38.4,
Djibouti,1836,31k,29.9,
Dominica,1836,21.6k,29.9,
Denmark,1836,1.32M,39.9,
Dominican Republic,1836,116k,29.9,
Algeria,1836,2.77M,28.8,
Ecuador,1836,649k,32.9,
Egypt,1836,4.42M,33.0,
Eritrea,1836,396k,30.2,
Spain,1836,13.6M,29.5,
Estonia,1836,405k,38.4,
Ethiopia,1836,15.1M,27.0,
Finland,1836,1.41M,30.8,
Fiji,1836,139k,26.1,
France,1836,34.3M,42.0,
"Micronesia, Fed. Sts.",1836,17.7k,26.7,
Gabon,1836,222k,30.6,
United Kingdom,1836,25.7M,41.4,
Georgia,1836,1.24M,31.9,
Ghana,1836,2M,28.0,
Guinea,1836,1.01M,29.9,
Gambia,1836,108k,28.8,
Guinea-Bissau,1836,214k,32.0,
Equatorial Guinea,1836,94.3k,29.8,
Greece,1836,2.68M,36.6,
Grenada,1836,31.3k,31.4,
Guatemala,1836,682k,25.8,
Guyana,1836,109k,31.1,
"Hong Kong, China",1836,26.3k,34.9,
Honduras,1836,225k,33.9,
Holy See,1836,905,,
Croatia,1836,1.41M,36.1,
Haiti,1836,831k,29.0,
Hungary,1836,4.66M,36.0,
Indonesia,1836,19.4M,30.0,
India,1836,223M,25.4,
Ireland,1836,8.14M,38.3,
Iran,1836,7.05M,25.6,
Iraq,1836,1.17M,31.2,
Iceland,1836,57.9k,30.9,
Israel,1836,210k,32.0,
Italy,1836,22.4M,29.7,
Jamaica,1836,382k,34.2,
Jordan,1836,258k,31.7,
Japan,1836,31.5M,36.4,
Kazakhstan,1836,2.36M,26.2,
Kenya,1836,3.11M,25.5,
Kyrgyz Republic,1836,614k,23.9,
Cambodia,1836,2.17M,35.0,
Kiribati,1836,19.3k,24.9,
St. Kitts and Nevis,1836,22.6k,24.9,
South Korea,1836,9.47M,25.8,
Kuwait,1836,81.3k,26.0,
Lao,1836,547k,31.9,
Lebanon,1836,373k,29.7,
Liberia,1836,322k,31.1,
Libya,1836,252k,33.1,
St. Lucia,1836,24k,28.0,
Liechtenstein,1836,6500,,
Sri Lanka,1836,1.67M,32.6,
Lesotho,1836,219k,32.8,
Lithuania,1836,985k,28.9,
Luxembourg,1836,176k,36.9,
Latvia,1836,766k,33.0,
Morocco,1836,2.77M,33.1,
Monaco,1836,9440,33.1,
Moldova,1836,825k,33.1,
Madagascar,1836,2.14M,30.5,
Maldives,1836,46.6k,32.6,
Mexico,1836,6.77M,26.9,
Marshall Islands,1836,8420,26.9,
North Macedonia,1836,451k,36.1,
Mali,1836,1.46M,26.4,
Malta,1836,147k,28.7,
Myanmar,1836,3.73M,30.8,
Montenegro,1836,163k,35.4,
Mongolia,1836,634k,31.8,
Mozambique,1836,3.25M,30.3,
Mauritania,1836,329k,32.0,
Mauritius,1836,106k,31.6,
Malawi,1836,1.6M,30.3,
Malaysia,1836,398k,30.6,
Namibia,1836,142k,32.4,
Niger,1836,928k,30.8,
Nigeria,1836,12.8M,30.4,
Nicaragua,1836,240k,25.4,
Netherlands,1836,2.78M,39.9,
Norway,1836,1.19M,46.5,
Nepal,1836,4.13M,32.8,
Nauru,1836,1860,32.8,
New Zealand,1836,80.8k,34.0,
Oman,1836,333k,32.3,
Pakistan,1836,14.4M,25.8,
Panama,1836,98.1k,32.9,
Peru,1836,1.8M,35.7,
Philippines,1836,2.89M,30.9,
Palau,1836,4190,30.9,
Papua New Guinea,1836,759k,31.5,
Poland,1836,11.7M,35.9,
North Korea,1836,4.4M,26.0,
Portugal,1836,3.62M,35.6,
Paraguay,1836,231k,35.5,
Palestine,1836,166k,32.1,
Qatar,1836,14.1k,30.8,
Romania,1836,7.2M,35.7,
Russia,1836,36.3M,29.6,
Rwanda,1836,1.21M,31.8,
Saudi Arabia,1836,2.17M,32.1,
Sudan,1836,4.41M,31.4,
Senegal,1836,967k,25.2,
Singapore,1836,41.9k,34.0,
Solomon Islands,1836,67.7k,25.1,
Sierra Leone,1836,786k,25.1,
El Salvador,1836,305k,28.7,
San Marino,1836,6210,28.7,
Somalia,1836,1.23M,29.4,
Serbia,1836,2.08M,35.5,
South Sudan,1836,1.13M,26.7,
Sao Tome and Principe,1836,25.5k,31.0,
Suriname,1836,83.1k,32.9,
Slovak Republic,1836,2.27M,36.4,
Slovenia,1836,540k,36.6,
Sweden,1836,3.02M,45.1,
Eswatini,1836,71.2k,32.3,
Seychelles,1836,13.2k,37.0,
Syria,1836,1.41M,31.1,
Chad,1836,1.68M,30.9,
Togo,1836,477k,31.3,
Thailand,1836,4.96M,30.4,
Tajikistan,1836,540k,24.2,
Turkmenistan,1836,425k,24.0,
Timor-Leste,1836,169k,28.9,
Tonga,1836,18.5k,28.2,
Trinidad and Tobago,1836,70k,32.9,
Tunisia,1836,995k,28.8,
Turkey,1836,10.6M,35.0,
Tuvalu,1836,2700,35.0,
Taiwan,1836,2.1M,28.3,
Tanzania,1836,4.15M,32.2,
Uganda,1836,2.52M,25.3,
Ukraine,1836,13M,36.6,
Uruguay,1836,87.8k,32.9,
United States,1836,15.6M,39.4,
Uzbekistan,1836,2.22M,26.9,
St. Vincent and the Grenadines,1836,28k,26.0,
Venezuela,1836,1.07M,32.2,
Vietnam,1836,6.25M,32.0,
Vanuatu,1836,32.5k,24.3,
Samoa,1836,47k,25.4,
Yemen,1836,2.67M,23.4,
South Africa,1836,2.21M,33.5,
Zambia,1836,1.29M,32.6,
Zimbabwe,1836,837k,33.7,
Afghanistan,1837,3.54M,27.8,
Angola,1837,2.01M,27.0,
Albania,1837,472k,35.4,
Andorra,1837,2990,35.4,
United Arab Emirates,1837,40.2k,30.7,
Argentina,1837,725k,33.2,
Armenia,1837,483k,34.0,
Antigua and Barbuda,1837,37k,33.5,
Australia,1837,391k,34.0,
Austria,1837,3.66M,34.4,
Azerbaijan,1837,1.03M,29.2,
Burundi,1837,1.16M,31.5,
Belgium,1837,3.98M,40.3,
Benin,1837,720k,31.0,
Burkina Faso,1837,1.77M,29.2,
Bangladesh,1837,21.5M,25.5,
Bulgaria,1837,2.36M,37.4,
Bahrain,1837,64.5k,30.3,
Bahamas,1837,27.7k,35.2,
Bosnia and Herzegovina,1837,946k,35.1,
Belarus,1837,2.75M,36.2,
Belize,1837,25.7k,26.5,
Bolivia,1837,1.25M,33.0,
Brazil,1837,5.89M,32.0,
Barbados,1837,109k,32.1,
Brunei,1837,3220,29.2,
Bhutan,1837,360k,28.8,
Botswana,1837,105k,33.6,
Central African Republic,1837,699k,30.0,
Canada,1837,1.52M,39.8,
Switzerland,1837,2.18M,38.0,
Chile,1837,1.11M,32.0,
China,1837,411M,32.0,
Cote d'Ivoire,1837,1.06M,31.2,
Cameroon,1837,2.33M,28.8,
"Congo, Dem. Rep.",1837,6.72M,31.6,
"Congo, Rep.",1837,413k,32.7,
Colombia,1837,1.85M,32.0,
Comoros,1837,58.4k,32.1,
Cape Verde,1837,66.7k,33.8,
Costa Rica,1837,88.9k,30.2,
Cuba,1837,1.01M,36.5,
Cyprus,1837,185k,38.5,
Czech Republic,1837,6.26M,35.0,
Germany,1837,30.2M,38.4,
Djibouti,1837,31.6k,29.9,
Dominica,1837,21.7k,29.9,
Denmark,1837,1.33M,41.5,
Dominican Republic,1837,118k,29.9,
Algeria,1837,2.77M,28.8,
Ecuador,1837,660k,32.9,
Egypt,1837,4.43M,33.0,
Eritrea,1837,412k,30.2,
Spain,1837,13.7M,29.5,
Estonia,1837,410k,38.0,
Ethiopia,1837,15.3M,26.0,
Finland,1837,1.42M,34.4,
Fiji,1837,139k,26.1,
France,1837,34.4M,39.4,
"Micronesia, Fed. Sts.",1837,17.8k,26.7,
Gabon,1837,226k,30.6,
United Kingdom,1837,25.9M,40.2,
Georgia,1837,1.25M,31.9,
Ghana,1837,2M,28.0,
Guinea,1837,1.01M,29.9,
Gambia,1837,108k,28.8,
Guinea-Bissau,1837,214k,32.0,
Equatorial Guinea,1837,95.2k,29.8,
Greece,1837,2.7M,36.6,
Grenada,1837,31.4k,31.4,
Guatemala,1837,688k,25.8,
Guyana,1837,106k,31.1,
"Hong Kong, China",1837,26.7k,34.9,
Honduras,1837,232k,33.9,
Holy See,1837,905,,
Croatia,1837,1.43M,36.1,
Haiti,1837,838k,29.0,
Hungary,1837,4.69M,36.0,
Indonesia,1837,19.6M,30.0,
India,1837,224M,24.3,
Ireland,1837,8.19M,38.3,
Iran,1837,7.08M,25.6,
Iraq,1837,1.18M,31.2,
Iceland,1837,57.6k,32.8,
Israel,1837,210k,32.0,
Italy,1837,22.5M,29.7,
Jamaica,1837,381k,34.2,
Jordan,1837,261k,31.7,
Japan,1837,31.6M,36.4,
Kazakhstan,1837,2.38M,26.2,
Kenya,1837,3.13M,25.5,
Kyrgyz Republic,1837,619k,23.9,
Cambodia,1837,2.17M,35.0,
Kiribati,1837,19.4k,24.9,
St. Kitts and Nevis,1837,23k,24.9,
South Korea,1837,9.48M,25.8,
Kuwait,1837,81.3k,26.0,
Lao,1837,552k,31.9,
Lebanon,1837,375k,29.7,
Liberia,1837,323k,31.1,
Libya,1837,254k,33.1,
St. Lucia,1837,24k,28.0,
Liechtenstein,1837,6550,,
Sri Lanka,1837,1.71M,32.6,
Lesotho,1837,215k,32.8,
Lithuania,1837,999k,28.9,
Luxembourg,1837,177k,36.9,
Latvia,1837,779k,33.0,
Morocco,1837,2.78M,33.1,
Monaco,1837,9560,33.1,
Moldova,1837,832k,33.1,
Madagascar,1837,2.17M,30.5,
Maldives,1837,46.8k,32.6,
Mexico,1837,6.84M,26.9,
Marshall Islands,1837,8620,26.9,
North Macedonia,1837,455k,36.1,
Mali,1837,1.46M,26.4,
Malta,1837,148k,28.7,
Myanmar,1837,3.74M,30.8,
Montenegro,1837,165k,35.4,
Mongolia,1837,635k,31.8,
Mozambique,1837,3.34M,30.3,
Mauritania,1837,326k,32.0,
Mauritius,1837,108k,26.2,
Malawi,1837,1.63M,30.3,
Malaysia,1837,406k,30.6,
Namibia,1837,140k,32.4,
Niger,1837,933k,30.8,
Nigeria,1837,12.9M,30.4,
Nicaragua,1837,244k,25.4,
Netherlands,1837,2.81M,39.9,
Norway,1837,1.2M,44.2,
Nepal,1837,4.14M,32.8,
Nauru,1837,1860,32.8,
New Zealand,1837,78k,34.0,
Oman,1837,334k,32.3,
Pakistan,1837,14.4M,25.8,
Panama,1837,98.8k,32.9,
Peru,1837,1.89M,35.7,
Philippines,1837,2.94M,30.9,
Palau,1837,4210,30.9,
Papua New Guinea,1837,760k,31.5,
Poland,1837,11.8M,35.9,
North Korea,1837,4.4M,26.0,
Portugal,1837,3.64M,35.6,
Paraguay,1837,238k,35.5,
Palestine,1837,166k,32.1,
Qatar,1837,14.1k,30.8,
Romania,1837,7.26M,35.7,
Russia,1837,36.6M,29.6,
Rwanda,1837,1.23M,31.8,
Saudi Arabia,1837,2.17M,32.1,
Sudan,1837,4.42M,31.4,
Senegal,1837,965k,25.2,
Singapore,1837,42.7k,34.0,
Solomon Islands,1837,68.4k,25.1,
Sierra Leone,1837,785k,25.1,
El Salvador,1837,309k,28.7,
San Marino,1837,6260,28.7,
Somalia,1837,1.25M,29.4,
Serbia,1837,2.07M,35.5,
South Sudan,1837,1.14M,26.7,
Sao Tome and Principe,1837,25.6k,31.0,
Suriname,1837,83.2k,32.9,
Slovak Republic,1837,2.28M,36.4,
Slovenia,1837,545k,36.6,
Sweden,1837,3.05M,39.6,
Eswatini,1837,70.8k,32.3,
Seychelles,1837,13.3k,37.0,
Syria,1837,1.42M,31.1,
Chad,1837,1.69M,30.9,
Togo,1837,479k,31.3,
Thailand,1837,4.98M,30.4,
Tajikistan,1837,545k,24.2,
Turkmenistan,1837,429k,24.0,
Timor-Leste,1837,172k,28.9,
Tonga,1837,18.5k,28.2,
Trinidad and Tobago,1837,70.6k,32.9,
Tunisia,1837,1M,28.8,
Turkey,1837,10.6M,35.0,
Tuvalu,1837,2710,35.0,
Taiwan,1837,2.11M,28.3,
Tanzania,1837,4.23M,32.2,
Uganda,1837,2.55M,25.3,
Ukraine,1837,13.1M,36.6,
Uruguay,1837,90.4k,32.9,
United States,1837,16.1M,39.4,
Uzbekistan,1837,2.24M,26.9,
St. Vincent and the Grenadines,1837,28.1k,26.0,
Venezuela,1837,1.11M,32.2,
Vietnam,1837,6.23M,32.0,
Vanuatu,1837,32.8k,24.3,
Samoa,1837,47k,25.4,
Yemen,1837,2.67M,23.4,
South Africa,1837,2.26M,33.5,
Zambia,1837,1.31M,32.6,
Zimbabwe,1837,823k,33.7,
Afghanistan,1838,3.55M,27.8,
Angola,1838,2.04M,27.0,
Albania,1838,474k,35.4,
Andorra,1838,3010,35.4,
United Arab Emirates,1838,40.2k,30.7,
Argentina,1838,739k,33.2,
Armenia,1838,487k,34.0,
Antigua and Barbuda,1838,37k,33.5,
Australia,1838,400k,34.0,
Austria,1838,3.68M,34.4,
Azerbaijan,1838,1.04M,29.2,
Burundi,1838,1.18M,31.5,
Belgium,1838,4.01M,40.3,
Benin,1838,725k,31.0,
Burkina Faso,1838,1.77M,29.2,
Bangladesh,1838,21.6M,25.5,
Bulgaria,1838,2.37M,37.5,
Bahrain,1838,64.5k,30.3,
Bahamas,1838,27.7k,35.2,
Bosnia and Herzegovina,1838,951k,35.1,
Belarus,1838,2.78M,36.2,
Belize,1838,25.7k,26.5,
Bolivia,1838,1.26M,33.0,
Brazil,1838,5.99M,32.0,
Barbados,1838,111k,32.1,
Brunei,1838,3290,29.2,
Bhutan,1838,358k,28.8,
Botswana,1838,105k,33.6,
Central African Republic,1838,714k,30.0,
Canada,1838,1.58M,39.9,
Switzerland,1838,2.2M,38.0,
Chile,1838,1.13M,32.0,
China,1838,411M,32.0,
Cote d'Ivoire,1838,1.06M,31.2,
Cameroon,1838,2.36M,28.8,
"Congo, Dem. Rep.",1838,6.83M,31.6,
"Congo, Rep.",1838,419k,32.7,
Colombia,1838,1.88M,32.0,
Comoros,1838,58.5k,32.1,
Cape Verde,1838,67.4k,33.8,
Costa Rica,1838,90.6k,30.2,
Cuba,1838,1.01M,36.5,
Cyprus,1838,185k,38.5,
Czech Republic,1838,6.3M,35.0,
Germany,1838,30.5M,38.4,
Djibouti,1838,32.2k,29.9,
Dominica,1838,21.8k,29.9,
Denmark,1838,1.34M,43.1,
Dominican Republic,1838,120k,29.9,
Algeria,1838,2.78M,28.8,
Ecuador,1838,671k,32.9,
Egypt,1838,4.45M,33.0,
Eritrea,1838,429k,30.2,
Spain,1838,13.8M,29.5,
Estonia,1838,415k,37.6,
Ethiopia,1838,15.6M,27.0,
Finland,1838,1.43M,40.1,
Fiji,1838,140k,26.1,
France,1838,34.6M,39.3,
"Micronesia, Fed. Sts.",1838,17.9k,26.7,
Gabon,1838,231k,30.6,
United Kingdom,1838,26.2M,40.3,
Georgia,1838,1.26M,31.9,
Ghana,1838,1.99M,28.0,
Guinea,1838,1.01M,29.9,
Gambia,1838,108k,28.8,
Guinea-Bissau,1838,214k,32.0,
Equatorial Guinea,1838,96.2k,29.8,
Greece,1838,2.73M,36.6,
Grenada,1838,31.5k,31.4,
Guatemala,1838,694k,25.8,
Guyana,1838,103k,31.1,
"Hong Kong, China",1838,27.1k,34.9,
Honduras,1838,239k,33.9,
Holy See,1838,905,,
Croatia,1838,1.44M,36.1,
Haiti,1838,845k,29.0,
Hungary,1838,4.73M,36.0,
Indonesia,1838,19.7M,30.0,
India,1838,225M,23.9,
Ireland,1838,8.24M,38.3,
Iran,1838,7.11M,25.6,
Iraq,1838,1.18M,31.2,
Iceland,1838,57.4k,32.4,
Israel,1838,210k,32.0,
Italy,1838,22.6M,29.7,
Jamaica,1838,379k,34.2,
Jordan,1838,264k,31.7,
Japan,1838,31.6M,36.4,
Kazakhstan,1838,2.41M,26.2,
Kenya,1838,3.15M,25.5,
Kyrgyz Republic,1838,625k,23.9,
Cambodia,1838,2.18M,35.0,
Kiribati,1838,19.5k,24.9,
St. Kitts and Nevis,1838,23.4k,24.9,
South Korea,1838,9.48M,25.8,
Kuwait,1838,81.3k,26.0,
Lao,1838,557k,31.9,
Lebanon,1838,378k,29.7,
Liberia,1838,323k,31.1,
Libya,1838,255k,33.1,
St. Lucia,1838,24k,28.0,
Liechtenstein,1838,6590,,
Sri Lanka,1838,1.74M,32.6,
Lesotho,1838,212k,32.8,
Lithuania,1838,1.01M,28.9,
Luxembourg,1838,178k,36.9,
Latvia,1838,792k,33.0,
Morocco,1838,2.78M,33.1,
Monaco,1838,9670,33.1,
Moldova,1838,840k,33.1,
Madagascar,1838,2.2M,30.5,
Maldives,1838,47.1k,32.6,
